cohort_year,lea_id,lea_name,county,n_graduated,n_cohort,grad_rate,source_file,level,impending_appeal,suppressed
2019,4158,Chinle Unified District,Apache,180.0,247.0,72.9,20194YearGradRateFinal.xls,lea,False,False
2019,4157,Ganado Unified School District,Apache,85.0,108.0,78.7,20194YearGradRateFinal.xls,lea,False,False
2019,4159,Red Mesa Unified District,Apache,46.0,59.0,78.0,20194YearGradRateFinal.xls,lea,False,False
2019,4155,Round Valley Unified District,Apache,80.0,96.0,83.3,20194YearGradRateFinal.xls,lea,False,False
2019,4156,Sanders Unified District,Apache,26.0,39.0,66.7,20194YearGradRateFinal.xls,lea,False,False
2019,4153,St Johns Unified District,Apache,49.0,64.0,76.6,20194YearGradRateFinal.xls,lea,False,False
2019,4154,Window Rock Unified District,Apache,122.0,149.0,81.9,20194YearGradRateFinal.xls,lea,False,False
2019,79226,Benson Unified School District,Cochise,86.0,93.0,92.5,20194YearGradRateFinal.xls,lea,False,False
2019,4169,Bisbee Unified District,Cochise,62.0,73.0,84.9,20194YearGradRateFinal.xls,lea,False,False
2019,4171,Bowie Unified District,Cochise,,,,20194YearGradRateFinal.xls,lea,False,True
2019,4191,"Center for Academic Success, Inc.",Cochise,56.0,67.0,83.6,20194YearGradRateFinal.xls,lea,False,False
2019,81027,Cochise Community Development Corporation,Cochise,22.0,26.0,84.6,20194YearGradRateFinal.xls,lea,False,False
2019,4174,Douglas Unified District,Cochise,288.0,326.0,88.3,20194YearGradRateFinal.xls,lea,False,False
2019,79503,Omega Alpha Academy,Cochise,,,,20194YearGradRateFinal.xls,lea,False,True
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",Cochise,29.0,110.0,26.4,20194YearGradRateFinal.xls,lea,False,False
2019,4172,San Simon Unified District,Cochise,13.0,13.0,100.0,20194YearGradRateFinal.xls,lea,False,False
2019,4175,Sierra Vista Unified District,Cochise,425.0,468.0,90.8,20194YearGradRateFinal.xls,lea,False,False
2019,4173,St David Unified District,Cochise,17.0,17.0,100.0,20194YearGradRateFinal.xls,lea,False,False
2019,4168,Tombstone Unified District,Cochise,61.0,67.0,91.0,20194YearGradRateFinal.xls,lea,False,False
2019,4190,Valley Union High School District,Cochise,25.0,26.0,96.2,20194YearGradRateFinal.xls,lea,False,False
2019,4170,Willcox Unified District,Cochise,87.0,97.0,89.7,20194YearGradRateFinal.xls,lea,False,False
2019,90862,"BASIS Charter Schools, Inc.",Coconino,41.0,41.0,100.0,20194YearGradRateFinal.xls,lea,False,False
2019,10386,Coconino County Accommodation School District,Coconino,64.0,96.0,66.7,20194YearGradRateFinal.xls,lea,False,False
2019,4202,Flagstaff Arts And Leadership Academy,Coconino,39.0,41.0,95.1,20194YearGradRateFinal.xls,lea,False,False
2019,4192,Flagstaff Unified District,Coconino,650.0,748.0,86.9,20194YearGradRateFinal.xls,lea,False,False
2019,4195,Fredonia-Moccasin Unified District,Coconino,18.0,22.0,81.8,20194YearGradRateFinal.xls,lea,False,False
2019,4194,Grand Canyon Unified District,Coconino,22.0,23.0,95.7,20194YearGradRateFinal.xls,lea,False,False
