cohort_year,lea_id,lea_name,school_id,school_name,county,n_graduated,n_cohort,grad_rate,source_file,level,impending_appeal,suppressed
2019,4158,Chinle Unified District,4737,Chinle High School,Apache,180.0,247.0,72.87,20194YearGradRateFinal.xls,school,False,False
2019,4157,Ganado Unified School District,4728,Ganado High School,Apache,85.0,108.0,78.7,20194YearGradRateFinal.xls,school,False,False
2019,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,40.0,51.0,78.43,20194YearGradRateFinal.xls,school,False,False
2019,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,,,,20194YearGradRateFinal.xls,school,False,True
2019,4155,Round Valley Unified District,4721,Round Valley High School,Apache,75.0,80.0,93.75,20194YearGradRateFinal.xls,school,False,False
2019,4155,Round Valley Unified District,92686,White Mountain Academy,Apache,,,31.25,20194YearGradRateFinal.xls,school,False,True
2019,4156,Sanders Unified District,4724,Valley High School,Apache,26.0,39.0,66.67,20194YearGradRateFinal.xls,school,False,False
2019,4153,St Johns Unified District,4711,St Johns High School,Apache,49.0,52.0,94.23,20194YearGradRateFinal.xls,school,False,False
2019,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,,,,20194YearGradRateFinal.xls,school,False,True
2019,4154,Window Rock Unified District,4717,Window Rock High School,Apache,122.0,149.0,81.88,20194YearGradRateFinal.xls,school,False,False
2019,79226,Benson Unified School District,4799,Benson High School,Cochise,75.0,77.0,97.4,20194YearGradRateFinal.xls,school,False,False
2019,79226,Benson Unified School District,85879,San Pedro Valley High School,Cochise,,,71.43,20194YearGradRateFinal.xls,school,False,True
2019,79226,Benson Unified School District,90775,San Pedro Valley Online Academy,Cochise,,,,20194YearGradRateFinal.xls,school,False,True
2019,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,62.0,73.0,84.93,20194YearGradRateFinal.xls,school,False,False
2019,4171,Bowie Unified District,4759,Bowie High School,Cochise,,,,20194YearGradRateFinal.xls,school,False,True
2019,4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Cochise,31.0,41.0,75.61,20194YearGradRateFinal.xls,school,False,False
2019,4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Cochise,25.0,26.0,96.15,20194YearGradRateFinal.xls,school,False,False
2019,81027,Cochise Community Development Corporation,81028,Bereran Academy,Cochise,22.0,26.0,84.62,20194YearGradRateFinal.xls,school,False,False
2019,4174,Douglas Unified District,4773,Douglas High School,Cochise,288.0,326.0,88.34,20194YearGradRateFinal.xls,school,False,False
2019,79503,Omega Alpha Academy,79505,Omega Alpha Academy School,Cochise,,,,20194YearGradRateFinal.xls,school,False,True
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5880,PPEP TEC - Colin L. Powell Learning Center,Cochise,18.0,50.0,36.0,20194YearGradRateFinal.xls,school,False,False
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5877,PPEP TEC - Raul H. Castro Learning Center,Cochise,11.0,60.0,18.33,20194YearGradRateFinal.xls,school,False,False
2019,4172,San Simon Unified District,4760,San Simon School,Cochise,13.0,13.0,100.0,20194YearGradRateFinal.xls,school,False,False
2019,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,425.0,465.0,91.4,20194YearGradRateFinal.xls,school,False,False
2019,4175,Sierra Vista Unified District,440989,Sierra Vista Online,Cochise,,,,20194YearGradRateFinal.xls,school,False,True
2019,4173,St David Unified District,4762,St David High School,Cochise,17.0,17.0,100.0,20194YearGradRateFinal.xls,school,False,False
2019,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,61.0,67.0,91.04,20194YearGradRateFinal.xls,school,False,False
2019,4190,Valley Union High School District,4800,Valley Union High School,Cochise,25.0,26.0,96.15,20194YearGradRateFinal.xls,school,False,False
2019,4170,Willcox Unified District,4757,Willcox High School,Cochise,87.0,97.0,89.69,20194YearGradRateFinal.xls,school,False,False
2019,90862,"BASIS Charter Schools, Inc.",90863,BASIS Flagstaff,Coconino,41.0,41.0,100.0,20194YearGradRateFinal.xls,school,False,False
2019,10386,Coconino County Accommodation School District,79010,Jail - Coconino County Accommodation School District,Coconino,,,,20194YearGradRateFinal.xls,school,False,True
2019,10386,Coconino County Accommodation School District,78915,Juvenile Detention,Coconino,,,,20194YearGradRateFinal.xls,school,False,True
2019,10386,Coconino County Accommodation School District,85842,Ponderosa High School,Coconino,45.0,60.0,75.0,20194YearGradRateFinal.xls,school,False,False
2019,10386,Coconino County Accommodation School District,81127,Tse'yaato' High School,Coconino,19.0,29.0,65.52,20194YearGradRateFinal.xls,school,False,False
2019,4202,Flagstaff Arts And Leadership Academy,4842,Flagstaff Arts And Leadership Academy,Coconino,39.0,41.0,95.12,20194YearGradRateFinal.xls,school,False,False
2019,4192,Flagstaff Unified District,4820,Coconino High School,Coconino,249.0,302.0,82.45,20194YearGradRateFinal.xls,school,False,False
2019,4192,Flagstaff Unified District,4819,Flagstaff High School,Coconino,364.0,384.0,94.79,20194YearGradRateFinal.xls,school,False,False
2019,4192,Flagstaff Unified District,230656,Northern Arizona Distance Learning,Coconino,,,,20194YearGradRateFinal.xls,school,False,True
2019,4192,Flagstaff Unified District,4803,Summit High School,Coconino,37.0,57.0,64.91,20194YearGradRateFinal.xls,school,False,False
2019,4195,Fredonia-Moccasin Unified District,4828,Fredonia High School,Coconino,18.0,22.0,81.82,20194YearGradRateFinal.xls,school,False,False
2019,4194,Grand Canyon Unified District,4825,Grand Canyon High School,Coconino,22.0,23.0,95.65,20194YearGradRateFinal.xls,school,False,False
2019,4204,Northland Preparatory Academy,4845,Northland Preparatory Academy,Coconino,75.0,76.0,98.68,20194YearGradRateFinal.xls,school,False,False
2019,4196,Page Unified District,92913,Manson Mesa High School,Coconino,,,24.0,20194YearGradRateFinal.xls,school,False,True
2019,4196,Page Unified District,4832,Page High School,Coconino,152.0,169.0,89.94,20194YearGradRateFinal.xls,school,False,False
2019,4197,Tuba City Unified School District #15,78916,Nizhoni Accelerated Academy,Coconino,,,58.82,20194YearGradRateFinal.xls,school,False,True
2019,4197,Tuba City Unified School District #15,4838,Tuba City High School,Coconino,107.0,138.0,77.54,20194YearGradRateFinal.xls,school,False,False
2019,4193,Williams Unified District,4823,Williams High School,Coconino,40.0,42.0,95.24,20194YearGradRateFinal.xls,school,False,False
2019,4208,Globe Unified District,4855,Globe High School,Gila,123.0,137.0,89.78,20194YearGradRateFinal.xls,school,False,False
2019,4212,Hayden-Winkelman Unified District,4873,Hayden High School,Gila,16.0,17.0,94.12,20194YearGradRateFinal.xls,school,False,False
2019,4216,Liberty High School,4878,Liberty High School,Gila,,,50.0,20194YearGradRateFinal.xls,school,False,True
2019,4211,Miami Unified District,4869,Miami Junior Senior High School,Gila,50.0,59.0,84.75,20194YearGradRateFinal.xls,school,False,False
2019,4209,Payson Unified District,91196,Payson Center for Success - Online,Gila,,,,20194YearGradRateFinal.xls,school,False,True
2019,4209,Payson Unified District,10822,Payson Center for Success High School,Gila,15.0,29.0,51.72,20194YearGradRateFinal.xls,school,False,False
2019,4209,Payson Unified District,4860,Payson High School,Gila,113.0,150.0,75.33,20194YearGradRateFinal.xls,school,False,False
